Sport_name,Date,Time,Team1_name,Team1_points,Team1_spread,Team1_win,Team1_total,Team2_name,Team2_points,Team2_spread,Team2_win,Team2_total,Draw
baseball,2018-10-13,20:09,Milwaukee Brewers,2,-1.5(+155),(-650),6.5(-150),Los Angeles Dodgers,3,1.5(-205),(+400),6.5(+115),
basketball,2018-10-13,21:00,Pinheiros,64,-15.5(-115),(-10000),157.5(-140),Bauru,79,15.5(-115),(+1300),157.5(EVEN),
basketball,2018-10-13,21:00,Basquete Cearense,48,12.5(-115),(+850),130.5(-115),Flamengo,37,-12.5(-115),(-2500),130.5(-115),
football,2018-10-13,19:30,Texas (#9),,-9.5(-115),(-5000),47.5(-105),Baylor,,9.5(-115),(+1100),47.5(-125),
soccer,2018-10-13,21:30,Chile U20,0,0.5(-135),(+450),1.5(+135),Brazil U20,0,-0.5(+105),(EVEN),1.5(-175),(+160)
basketball,2018-10-13,21:00,Club Deportes Espanol de Talca,63,-17.5(-125),,147.5(-125),CD Puente Alto,84,17.5(-115),(+1700),147.5(-115),
football,2018-10-13,19:30,LSU,,-17.5(-105),,42.5(-110),Georgia (#2),,17.5(-125),(+1500),42.5(-120),
soccer,2018-10-13,21:03,DC United,0,0.0(-130),(+400),0.5(+160),FC Dallas,0,0.0(EVEN),(+450),0.5(-200),(-230)
hockey,2018-10-13,22:00,Minnesota Wild,1,,(+135),5.5(-135),Carolina Hurricanes,0,,(-190),5.5(-105),
football,2018-10-13,19:30,OLD DOMINION MONARCHS,,15.5(-280),,,Marshall,,-15.5(+205),,,
soccer,2018-10-13,22:00,Deportivo Capiatá,0,1.0(EVEN),(+650),3.0(+120),Sol de América,1,-1.0(-130),(-230),3.0(-155),(+330)
tennis,2018-10-13,22:15,A. Menendez-Maceiras,0,-1.5(-110),(-135),,A. Bolt,0,1.5(-120),(EVEN),,
football,2018-10-13,19:30,PENN STATE NITTANY LIONS,14,-3.5(+245),(-500),36.5(-130),Michigan State,17,3.5(-345),(+330),36.5(EVEN),
